category	task_name	weight	policy	mode	seed	count	task_progress
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	59315038	47	0.175532
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	70970695	41	0.147561
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	74435116	56	0.184821
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	78309306	58	0.160345
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	87951085	53	0.135849
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_100m	pvp	97056894	43	0.143023
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	1	48	0.104167
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	17590196	57	0.100000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	2	66	0.106818
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	48692979	69	0.101449
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	59315038	54	0.153704
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	70970695	46	0.114130
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	74435116	67	0.082090
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	78309306	43	0.117442
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	87951085	49	0.092857
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_25m	pvp	97056894	46	0.082609
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	1	50	0.123000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	17590196	51	0.133333
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	2	50	0.154000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	48692979	49	0.098980
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	59315038	48	0.097917
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	70970695	65	0.140000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	74435116	56	0.131250
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	78309306	36	0.108333
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	87951085	42	0.086905
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_50m	pvp	97056894	63	0.119048
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	1	58	0.112931
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	17590196	66	0.177273
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	2	55	0.120000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	48692979	56	0.141071
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	59315038	64	0.157031
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	70970695	54	0.112037
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	74435116	57	0.103509
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	78309306	48	0.123958
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	87951085	56	0.117857
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	mtonly_75m	pvp	97056894	57	0.143860
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	1	62	0.038710
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	17590196	50	0.060000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	2	35	0.061429
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	48692979	39	0.028205
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	59315038	62	0.066129
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	70970695	47	0.051064
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	74435116	48	0.064583
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	78309306	60	0.030000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	87951085	67	0.020149
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_100m	pvp	97056894	49	0.035714
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	1	46	0.063043
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	17590196	53	0.067925
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	2	64	0.046875
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	48692979	58	0.050862
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	59315038	44	0.045455
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	70970695	43	0.079070
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	74435116	54	0.042593
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	78309306	61	0.032787
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	87951085	56	0.052679
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_200m	pvp	97056894	40	0.045000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	1	52	0.042308
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	17590196	53	0.072642
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	2	57	0.035965
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	48692979	58	0.078448
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	59315038	47	0.027660
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	70970695	58	0.043103
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	74435116	37	0.051351
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	78309306	63	0.044444
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	87951085	52	0.034615
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_300m	pvp	97056894	62	0.036290
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	1	64	0.067969
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	17590196	53	0.040566
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:3_num_agent:20)_reward_to:agent	5.555556	general_400m	pvp	2	54	0.024074
